sources;"http://www.college-de-pataphysique.org/wa_files/calenpat.pdf";;;;;
;"https://fr.wikipedia.org/wiki/Calendrier_pataphysique";;;;;
ABSOLU;1;dimanche;Nativité d’Alfred Jarry;;8 09;
ABSOLU;2;lundi;St Ptyx, silentiaire (Abolition de);;9 09;
ABSOLU;3;mardi;St Phénix, solipsiste et St Hyx, factotum;;10 09;
ABSOLU;4;mercredi;St Lucien de Samosate, voyageur;;11 09;
ABSOLU;5;jeudi;St Bardamu, voyageur;;12 09;
ABSOLU;6;vendredi;Ste Vérola, assistante sociale;;13 09;
ABSOLU;7;samedi;St Alambic, abstracteur;;14 09;
ABSOLU;8;dimanche;Absinthe, ci-devant St Alfred(*);;15 09;
ABSOLU;9;lundi;Descente du St Esprit (de Vin);;16 09;
ABSOLU;10;mardi;Dilution;;17 09;
ABSOLU;11;mercredi;Ste Purée, sportswoman;;18 09;
ABSOLU;12;jeudi;Vide;;19 09;
ABSOLU;13;vendredi;St Canterel, l’illuminateur;;20 09;
ABSOLU;14;samedi;St Sophrotatos l’Arménien, pataphysicien;;21 09;
ABSOLU;15;dimanche;Éthernité;;22 09;
ABSOLU;16;lundi;St Ibicrate le Géomètre, pataphysicien;;23 09;
ABSOLU;17;mardi;Céphalorgie;;24 09;
ABSOLU;18;mercredi;Flûtes de Pan;;25 09;
ABSOLU;19;jeudi;Stes Grues, ophiophiles;;26 09;
ABSOLU;20;vendredi;Ste Mélusine, souillarde de cuisine;;27 09;
ABSOLU;21;samedi;St Venceslas (*), duc;;28 09;
ABSOLU;22;dimanche;Emmanuel Dieu;;29 09;
ABSOLU;23;lundi;Ste Varia-Miriam, amphibie;;30 09;
ABSOLU;24;mardi;Sts Rakir et Rastrons, porte-côtelettes;;1 10;
ABSOLU;25;mercredi;Nativité de Sa Magnificence Opach;;2 10;
ABSOLU;26;jeudi;St Joseb, notaire à la mode de Bretagne;;3 10;
ABSOLU;27;vendredi;Stes Gigolette et Gaufrette, dogaresses;;4 10;
ABSOLU;28;samedi;Xylostomie;;5 10;
HAHA;1;dimanche;L’âge du Dr Faustroll;;6 10;
HAHA;2;lundi;Dissolution d’E. Poe, dinomythurge;;7 10;
HAHA;3;mardi;St Gibus, franc-maçon;;8 10;
HAHA;4;mercredi;Ste Berthe de Courrière, égérie;;9 10;
HAHA;5;jeudi;Ste Belgique, nourrice;;10 10;
HAHA;6;vendredi;Ste Tourte, lyrique et Ste Bévue, sociologue;;11 10;
HAHA;7;samedi;St Prout, abbé;;12 10;
HAHA;8;dimanche;Fête du Haha;;13 10;
HAHA;9;lundi;Tautologie;;14 10;
HAHA;10;mardi;St Panmuphle, huissier;;15 10;
HAHA;11;mercredi;Sortie de St L. Cranach, apocalyticien;;16 10;
HAHA;12;jeudi;St Cosinus, savant;;17 10;
HAHA;13;vendredi;Bse Fenouillard, sainte famille;;18 10;
HAHA;14;samedi;Exhibition de la Daromphe;;19 10;
HAHA;15;dimanche;Nativité de L’Oestre, artificier;;20 10;
HAHA;16;lundi;Ste Vadrouille, emblème;;21 10;
HAHA;17;mardi;St Homais d’Aquin, prudhomme;;22 10;
HAHA;18;mercredi;Nativité de Sa Magnificence le baron Mollet (Ste Pipe (*));;23 10;
HAHA;19;jeudi;St Raphaël (*), apéritif et philistin;;24 10;
HAHA;20;vendredi;Strangulation de Bosse-de-Nage;;25 10;
HAHA;21;samedi;Zimzoum de Bosse-de-Nage;;26 10;
HAHA;22;dimanche;Résurrection de Bosse-de-Nage;;27 10;
HAHA;23;lundi;Chapeau de Bosse-de-Nage;;28 10;
HAHA;24;mardi;St Cl. Terrasse, musicien des Phynances;;29 10;
HAHA;25;mercredi;St J.-P. Brisset, philologue, prince des penseurs;;30 10;
HAHA;26;jeudi;Commémoration du Cure-dent;;31 10;
HAHA;27;vendredi;Occultation d’Alfred Jarry;;1 11;
HAHA;28;samedi;Fuite d’Ablou;;2 11;
AS;1;dimanche;Nativité de Pantagruel;;3 11;
AS;2;lundi;Ste Rose Sélavy, héroïne;;4 11;
AS;3;mardi;Couronnement de Lord Patchogue, miroitier;;5 11;
AS;4;mercredi;St Cravan, boxeur;;6 11;
AS;5;jeudi;St Van Meegeren, faussaire;;7 11;
AS;6;vendredi;St Omnibus, satyre;;8 11;
AS;7;samedi;St Cyrano de Bergerac, explorateur;;9 11;
AS;8;dimanche;St Rimbe, oisif;;10 11;
AS;9;lundi;Équarissage pour tous;;11 11;
AS;10;mardi;St Abstrait, bourreau;;12 11;
AS;11;mercredi;St Ossian, barde postiche;;13 11;
AS;12;jeudi;Dispute du signe + et du signe -;;14 11;
AS;13;vendredi;Mousatches du Dr Faustroll;;15 11;
AS;14;samedi;St P. Bonnard, peintre des phynances;;16 11;
AS;15;dimanche;Navigation du Dr Faustroll;;17 11;
AS;16;lundi;St Cap, captain;;18 11;
AS;17;mardi;St Pangloss, humoriste passif;;19 11;
AS;18;mercredi;St Chambernac, pauvrisseur;;20 11;
AS;19;jeudi;St Courtial des Péreires, aérostier et inventeur;;21 11;
AS;20;vendredi;St Olibrius, augure;;22 11;
AS;21;samedi;St Possible, schizophrène;;23 11;
AS;22;dimanche;St Lautréamont;;24 11;
AS;23;lundi;St Quincey, critique d’art;;25 11;
AS;24;mardi;St Berbiguier, martyr;;26 11;
AS;25;mercredi;St Lewis Carroll, professeur;;27 11;
AS;26;jeudi;St Mensonger, évêque;;28 11;
AS;27;vendredi;Ste Visité, fille du précédent;;29 11;
AS;28;samedi;Nativité de St Swift, chanoine;;30 11;
SABLE;1;dimanche;Noces de Balkis et de Salomon;;1 12;
SABLE;2;lundi;St Doublemain, idéologue;;2 12;
SABLE;3;mardi;St Phlegmon, doctrinaire;;3 12;
SABLE;4;mercredi;Ste Barbe (*), femme-canon;;4 12;
SABLE;5;jeudi;Ste Savate, avocate;;5 12;
SABLE;6;vendredi;St Navet et Ste Perruque, humanistes;;6 12;
SABLE;7;samedi;St Birbe, juge;;7 12;
SABLE;8;dimanche;Conception du P. Ubu (A. J.);;8 12;
SABLE;9;lundi;St Sagouin, homme d’État;;9 12;
SABLE;10;mardi;Exaltation d’Ubu Roi (Ubu d’hiver);;10 12;
SABLE;11;mercredi;Nativité de St Grabbe, scherziste;;11 12;
SABLE;12;jeudi;Ste Choupe, mère de famille;;12 12;
SABLE;13;vendredi;St Flaive (*), concierge;;13 12;
SABLE;14;samedi;Don Quichotte, champion du monde;;14 12;
SABLE;15;dimanche;Khurmookum du Dr Faustroll;;15 12;
SABLE;16;lundi;St Nul, exempt;;16 12;
SABLE;17;mardi;St Moyen, français;;17 12;
SABLE;18;mercredi;Ste Lurette, joconde;;18 12;
SABLE;19;jeudi;Gravidité de Mère Ubu;;19 12;
SABLE;20;vendredi;St Sabre, allopathe;;20 12;
SABLE;21;samedi;Ste Tape, pompette;;21 12;
SABLE;22;dimanche;César-Antéchrist;;22 12;
SABLE;23;lundi;Ste Viole (*), vierge et martyre;;23 12;
SABLE;24;mardi;Ste Pochetée, gouvernante;;24 12;
SABLE;25;mercredi;Nativité de l’Archéoptéryx;;25 12;
SABLE;26;jeudi;Monsieur Sisyphe;;26 12;
SABLE;27;vendredi;St Tic, conjoint;;27 12;
SABLE;28;samedi;St Cervelas, penseur;;28 12;
DECERVELAGE;1;dimanche;St Alaodine, virtuose;;29 12;
DECERVELAGE;2;lundi;Sts Hassassins, praticiens;;30 12;
DECERVELAGE;3;mardi;Astu;;31 12;
DECERVELAGE;4;mercredi;Décervelage;;1 01;
DECERVELAGE;5;jeudi;Sts Giron, Pile, Cotice, palotins;;2 01;
DECERVELAGE;6;vendredi;Sts Polonais, prolétaires;;3 01;
DECERVELAGE;7;samedi;Sts Forçats, poliorcètes;;4 01;
DECERVELAGE;8;dimanche;St Bordure, capitaine;;5 01;
DECERVELAGE;9;lundi;Dormition de Jacques Vaché, interprète;;6 01;
DECERVELAGE;10;mardi;Drapaud (érection du);;7 01;
DECERVELAGE;11;mercredi;St Eustache (*), libérateur;;8 01;
DECERVELAGE;12;jeudi;St Landru, gynécologue;;9 01;
DECERVELAGE;13;vendredi;St Guillotin, médecin;;10 01;
DECERVELAGE;14;samedi;Sts 4 Sans-Cou, enchanteurs;;11 01;
DECERVELAGE;15;dimanche;Conscience d’Ubu;;12 01;
DECERVELAGE;16;lundi;St Mauvais, sujet;;13 01;
DECERVELAGE;17;mardi;St Mandrin, poète et philosophe;;14 01;
DECERVELAGE;18;mercredi;Sts Pirates et Flibustiers, thaumaturges;;15 01;
DECERVELAGE;19;jeudi;St et Ste Cartouche, vétérinaires;;16 01;
DECERVELAGE;20;vendredi;St Outlaw, aristocrate;;17 01;
DECERVELAGE;21;samedi;Chaire du Dr Faustroll;;18 01;
DECERVELAGE;22;dimanche;Ostention du Bâton à Physique;;19 01;
DECERVELAGE;23;lundi;St Tank, animal;;20 01;
DECERVELAGE;24;mardi;St Weidman, patriarche;;21 01;
DECERVELAGE;25;mercredi;St Petiot, expert;;22 01;
DECERVELAGE;26;jeudi;Escrime;;23 01;
DECERVELAGE;27;vendredi;Sts Chemins de fer, assassins;;24 01;
DECERVELAGE;28;samedi;Repopulation;;25 01;
GUEULES;1;dimanche;Dépucelage de Mère Ubu;;26 01;
GUEULES;2;lundi;St Sigisbée, eunuque;;27 01;
GUEULES;3;mardi;St Anthropoïde, policier;;28 01;
GUEULES;4;mercredi;Ste Goule (*) ou Gudule, institutrice;;29 01;
GUEULES;5;jeudi;Ste Gale, abbesse;;30 01;
GUEULES;6;vendredi;Ste Touche, postulante;;31 01;
GUEULES;7;samedi;St Gueule, abbé;;1 02;
GUEULES;8;dimanche;Fête de la Chandelle Verte;;2 02;
GUEULES;9;lundi;Ste Crêpe, laïque;;3 02;
GUEULES;10;mardi;St Préservatif, bedeau;;4 02;
GUEULES;11;mercredi;St Baobab, célibataire;;5 02;
GUEULES;12;jeudi;St Membre, compilateur;;6 02;
GUEULES;13;vendredi;Copulation;;7 02;
GUEULES;14;samedi;Nativité de St J. Verne, globe-trotteur en chambre;;8 02;
GUEULES;15;dimanche;Alice au Pays des Merveilles;;9 02;
GUEULES;16;lundi;St Münchhausen, baron;;10 02;
GUEULES;17;mardi;Le Bétrou, théurge;;11 02;
GUEULES;18;mercredi;Nativité de St Deibler, prestidigitateur;;12 02;
GUEULES;19;jeudi;St Sade ès liens;;13 02;
GUEULES;20;vendredi;St Lafleur, valet;;14 02;
GUEULES;21;samedi;Lavement;;15 02;
GUEULES;22;dimanche;St Sexe, styliste;;16 02;
GUEULES;23;lundi;Occultation de St J. Torma, euphoriste;;17 02;
GUEULES;24;mardi;Conversion de St Matorel, bateleur;;18 02;
GUEULES;25;mercredi;Ste Marmelade, inspirée;;19 02;
GUEULES;26;jeudi;L’Amour Absolu, deliquium;;20 02;
GUEULES;27;vendredi;Ste Tabagie, cosmogène;;21 02;
GUEULES;28;samedi;Sts Hylactor et Pamphagus;;22 02;
GUEULES;29;hunyadi;Mouvement Perpétuel;;;23 02
PEDALE;1;dimanche;Érection du Surmâle;;23 02;24 02
PEDALE;2;lundi;St André Marcueil, ascète cycliste;;24 02;25 02
PEDALE;3;mardi;St Ellen, hile;;25 02;26 02
PEDALE;4;mercredi;St Michet, idéaliste;;26 02;27 02
PEDALE;5;jeudi;St Ouducul, trouvère;;27 02;28 02
PEDALE;6;vendredi;Vers Belges;;28 02;29 02
PEDALE;7;samedi;St Gavroche, forain;;1 03;
PEDALE;8;dimanche;La machine à inspirer l’amour;;2 03;
PEDALE;9;lundi;St Remezy (*), évêque in partibus;;3 03;
PEDALE;10;mardi;Nativité de St Tancrède, jeune homme;;4 03;
PEDALE;11;mercredi;Testament de P. Uccello, le mal illuminé;;5 03;
PEDALE;12;jeudi;St Hari Seldon, psychohistorien galactique;;6 03;
PEDALE;13;vendredi;Ste Valburge (*), succube;;7 03;
PEDALE;14;samedi;Sabbat;;8 03;
PEDALE;15;dimanche;Sts Adelphes, ésotéristes;;9 03;
PEDALE;16;lundi;Sts Templiers, adeptes;;10 03;
PEDALE;17;mardi;St Dricarpe, prosélyte;;11 03;
PEDALE;18;mercredi;St Nosocome, carabin;;12 03;
PEDALE;19;jeudi;Ste Goutte, fête militaire;;13 03;
PEDALE;20;vendredi;Ste Cuisse, dame patronnesse;;14 03;
PEDALE;21;samedi;St Inscrit, converti;;15 03;
PEDALE;22;dimanche;St Sengle, déserteur;;16 03;
PEDALE;23;lundi;St Masquarade, uniforme;;17 03;
PEDALE;24;mardi;Nativité de St Stéphane, faune;;18 03;
PEDALE;25;mercredi;St Poligraf Poligrafovitch, chien;;19 03;
PEDALE;26;jeudi;St Pâle, mineur;;20 03;
PEDALE;27;vendredi;St Valens, frère onirique;;21 03;
PEDALE;28;samedi;Dédicace du Tripode;;22 03;
CLINAMEN;1;dimanche;St Ablou, page et St Haldern, duc;;23 03;
CLINAMEN;2;lundi;Sts Hiboux, maîtres-chanteurs;;24 03;
CLINAMEN;3;mardi;La Mandragore, solanée androïde;;25 03;
CLINAMEN;4;mercredi;St Pagne, confident;;26 03;
CLINAMEN;5;jeudi;Sts Aster et Vulpian, violateurs du Néant;;27 03;
CLINAMEN;6;vendredi;St Ganymède, professionnel;;28 03;
CLINAMEN;7;samedi;La Main de Gloire;;29 03;
CLINAMEN;8;dimanche;La Machine à Peindre;;30 03;
CLINAMEN;9;lundi;Ste Trique, lunatique;;31 03;
CLINAMEN;10;mardi;Rémission des Poissons;;1 04;
CLINAMEN;11;mercredi;St Maquereau;;2 04;
CLINAMEN;12;jeudi;St Georges Dazet, poulple au regard de soie;;3 04;
CLINAMEN;13;vendredi;Nativité de Maldoror, corsaire aux cheveux d’or;;4 04;
CLINAMEN;14;samedi;Sortie d’A. Dürer, hermétiste;;5 04;
CLINAMEN;15;dimanche;Invention de la ‘Pataphysique;;6 04;
CLINAMEN;16;lundi;Exit St Domenico Theotocopouli, el Greco;;7 04;
CLINAMEN;17;mardi;St Hiéronymus Bosch, démonarque;;8 04;
CLINAMEN;18;mercredi;Les 27 Êtres Issus des Livres Pairs;;9 04;
CLINAMEN;19;jeudi;St Barbeau, procureur et Ste Morue, juste;;10 04;
CLINAMEN;20;vendredi;Capture du Fourneau;;11 04;
CLINAMEN;21;samedi;St Docteur Moreau, insulaire;;12 04;
CLINAMEN;22;dimanche;Fête des Polyèdres;;13 04;
CLINAMEN;23;lundi;Locus Solus;;14 04;
CLINAMEN;24;mardi;St Tupetu de Tupetu (*), organisateur de loteries;;15 04;
CLINAMEN;25;mercredi;Exit St Goya, alchimiste;;16 04;
CLINAMEN;26;jeudi;St Escargot, sybarite;;17 04;
CLINAMEN;27;vendredi;Ste Hure de Chasteté, pénitente;;18 04;
CLINAMEN;28;samedi;St Turgescent, iconoclaste;;19 04;
PALOTIN;1;dimanche;Sts Crocodiles, crocodiles;;20 04;
PALOTIN;2;lundi;Fête des Écluses;;21 04;
PALOTIN;3;mardi;Sts Trolls, pantins;;22 04;
PALOTIN;4;mercredi;Ste Susan Calvin, docteur;;23 04;
PALOTIN;5;jeudi;Ste Poignée, veuve et Ste Jutte, recluse;;24 04;
PALOTIN;6;vendredi;Ste Oneille, gourgandine;;25 04;
PALOTIN;7;samedi;St Fénéon ès Liens;;26 04;
PALOTIN;8;dimanche;St Bougrelas, prince;;27 04;
PALOTIN;9;lundi;Sts Boleslas et Ladislas, polonais;;28 04;
PALOTIN;10;mardi;St Forficule, Barnabite;;29 04;
PALOTIN;11;mercredi;Explosion du Palotin;;30 04;
PALOTIN;12;jeudi;Réprobation du Travail;;1 05;
PALOTIN;13;vendredi;Esquive de St Léonard (de Vinci), illusionniste;;2 05;
PALOTIN;14;samedi;St Équivoque, sans-culotte;;3 05;
PALOTIN;15;dimanche;Adoration du Pal;;4 05;
PALOTIN;16;lundi;Déploration de St Achras, éleveur de Polyèdres;;5 05;
PALOTIN;17;mardi;St Macrotatoure, caudataire;;6 05;
PALOTIN;18;mercredi;Canotage;;7 05;
PALOTIN;19;jeudi;Occultation de St Gauguin, océanide;;8 05;
PALOTIN;20;vendredi;St Ti Belot, séide;;9 05;
PALOTIN;21;samedi;Occultation de Sa Magnificence le Dr Sandomir;;10 05;
PALOTIN;22;dimanche;Sts Palotins des Phynances;;11 05;
PALOTIN;23;lundi;Sts Quatrezoneilles, Herdanpo, Mousched-Gogh, palotins;;12 05;
PALOTIN;24;mardi;Ste Lumelle, écuyère;;13 05;
PALOTIN;25;mercredi;Sts Potassons, acolythes;;14 05;
PALOTIN;26;jeudi;Ste Prétentaine, rosière;;15 05;
PALOTIN;27;vendredi;St Foin, coryphée;;16 05;
PALOTIN;28;samedi;Nativité de St Satie, Grand Parcier de l’Église d’Art;;17 05;
MERDRE;1;dimanche;Accouchement de Ste Jeanne, Papesse;;18 05;
MERDRE;2;lundi;Le Moutardier du Pape;;19 05;
MERDRE;3;mardi;St Siège, sous-pape;;20 05;
MERDRE;4;mercredi;Nativité de St H. Rousseau, douanier;;21 05;
MERDRE;5;jeudi;St Crouducul, troupier;;22 05;
MERDRE;6;vendredi;St Cucufat (*), mécène;;23 05;
MERDRE;7;samedi;Nativité de M. Plume, propriétaire;;24 05;
MERDRE;8;dimanche;Cocuage de M. le P. Ubu;;25 05;
MERDRE;9;lundi;Vidange;;26 05;
MERDRE;10;mardi;St Barbapoux, amant;;27 05;
MERDRE;11;mercredi;St Memnon, vidangeur;;28 05;
MERDRE;12;jeudi;Stes Miches, catéchumènes;;29 05;
MERDRE;13;vendredi;Ste Lunette, solitaire;;30 05;
MERDRE;14;samedi;St Sphincter, profès;;31 05;
MERDRE;15;dimanche;Sts Serpents d’Airain;;1 06;
MERDRE;16;lundi;Nativité de St Donatien A. François (*);;2 06;
MERDRE;17;mardi;St Woland, professeur;;3 06;
MERDRE;18;mercredi;St Anal, cordelier et Ste Foire, anagogue;;4 06;
MERDRE;19;jeudi;Ste Fétatoire, super;;5 06;
MERDRE;20;vendredi;Ste Colombine, expurgée;;6 06;
MERDRE;21;samedi;Ste Pyrotechnie, illuminée;;7 06;
MERDRE;22;dimanche;Ontogénie Pataphysique;;8 06;
MERDRE;23;lundi;Interprétation de l’Umour;;9 06;
MERDRE;24;mardi;Ste Purge, sage-femme;;10 06;
MERDRE;25;mercredi;Apparition d’Ubu Roi;;11 06;
MERDRE;26;jeudi;Ste Barbaque, naïade;;12 06;
MERDRE;27;vendredi;Sts Courts et Longs, gendarmes;;13 06;
MERDRE;28;samedi;St Raca, cagot;;14 06;
GIDOUILLE;1;dimanche;Ste Bouzine, esprit;;15 06;
GIDOUILLE;2;lundi;St Lucullus, amateur (Bloomsday);;16 06;
GIDOUILLE;3;mardi;Ste Dondon, amazone;;17 06;
GIDOUILLE;4;mercredi;Ste Tripe, républicaine;;18 06;
GIDOUILLE;5;jeudi;St Ugolin, mansuet;;19 06;
GIDOUILLE;6;vendredi;St Dieu, retraité;;20 06;
GIDOUILLE;7;samedi;St Bébé Toutout, évangéliste;;21 06;
GIDOUILLE;8;dimanche;Ste Boudouille, Bayadère;;22 06;
GIDOUILLE;9;lundi;Ste Outre, psychiatre;;23 06;
GIDOUILLE;10;mardi;St Boudin, recteur;;24 06;
GIDOUILLE;11;mercredi;Sacre de Talou VII, empereur du Ponukélé;;25 06;
GIDOUILLE;12;jeudi;Ste Confiture, dévote et Ste Cliche, donatrice;;26 06;
GIDOUILLE;13;vendredi;Sts Instintestins, conseillers intimes;;27 06;
GIDOUILLE;14;samedi;St Colon, artilleur;;28 06;
GIDOUILLE;15;dimanche;Ste Giborgne, vénérable;;29 06;
GIDOUILLE;16;lundi;St Inventaire, poète;;30 06;
GIDOUILLE;17;mardi;Ste Femelle, technicienne;;1 07;
GIDOUILLE;18;mercredi;Visitation de Mère Ubu;;2 07;
GIDOUILLE;19;jeudi;St Sein, tautologue;;3 07;
GIDOUILLE;20;vendredi;St Périnée, zélateur;;4 07;
GIDOUILLE;21;samedi;St Spéculum, confesseur;;5 07;
GIDOUILLE;22;dimanche;Fête de Gidouille;;6 07;
GIDOUILLE;23;lundi;St Ombilic, gymnosophiste;;7 07;
GIDOUILLE;24;mardi;St Gris-gris, ventre;;8 07;
GIDOUILLE;25;mercredi;St Bouffre, pontife;;9 07;
GIDOUILLE;26;jeudi;Ste Goulache, odalisque;;10 07;
GIDOUILLE;27;vendredi;Ste Gandouse, hygiéniste;;11 07;
GIDOUILLE;28;samedi;Poche du Père Ubu;;12 07;
GIDOUILLE;29;hunyadi;Nom d’Ubu;;13 07;
TATANE;1;dimanche;Fête du P. Ubu (Ubu d’été);;14 07;
TATANE;2;lundi;Commémoration du P. Ébé;;15 07;
TATANE;3;mardi;Ste Crapule, puriste et Fantomas, archange;;16 07;
TATANE;4;mercredi;Ascension du Mouchard, statisticien, psychiatre et policier;;17 07;
TATANE;5;jeudi;St Arsouille, patricien;;18 07;
TATANE;6;vendredi;Sts Robot et Cornard, citoyens;;19 07;
TATANE;7;samedi;St Biribi, taulier;;20 07;
TATANE;8;dimanche;Susception du Croc à Merdre;;21 07;
TATANE;9;lundi;Sts Écrase-Merdre, sectateurs;;22 07;
TATANE;10;mardi;Sts Pieds Nickelés, trinité;;23 07;
TATANE;11;mercredi;Stes Canicule et Canule, jouvencelles;;24 07;
TATANE;12;jeudi;Sts Cannibales, philantropes;;25 07;
TATANE;13;vendredi;St Dada, prophète;;26 07;
TATANE;14;samedi;Ste Anne, pélerine, énergumène;;27 07;
TATANE;15;dimanche;Procession aux Phynances;;28 07;
TATANE;16;lundi;Transfiguration de St V. van Gogh, transmutateur;;29 07;
TATANE;17;mardi;Ste Flamberge, voyante;;30 07;
TATANE;18;mercredi;St Trou, chauffeur;;31 07;
TATANE;19;jeudi;Ste Taloche, matrone;;1 08;
TATANE;20;vendredi;St Tiberge, frère quêteur;;2 08;
TATANE;21;samedi;Sts Catoblepas, lord et Anoblepas, amiral;;3 08;
TATANE;22;dimanche;Ubu ès Liens;;4 08;
TATANE;23;lundi;St Pissembock, oncle;;5 08;
TATANE;24;mardi;St Pissedoux, caporal des hommes libres;;6 08;
TATANE;25;mercredi;St Panurge, moraliste;;7 08;
TATANE;26;jeudi;St Glé, neurologue-aliéniste;;8 08;
TATANE;27;vendredi;St Pistolet à Merdre, jubilaire;;9 08;
TATANE;28;samedi;Nativité de St Bruggle;;10 08;
PHALLE;1;dimanche;St Chibre, planton;;11 08;
PHALLE;2;lundi;Ste Ruth (*), zélatrice;;12 08;
PHALLE;3;mardi;St Zebb, passe-partout;;13 08;
PHALLE;4;mercredi;St Mnester, confesseur;;14 08;
PHALLE;5;jeudi;Assomption de Ste Messaline;;15 08;
PHALLE;6;vendredi;Penis Angelicus;;16 08;
PHALLE;7;samedi;St Patrobas (*), pompier;;17 08;
PHALLE;8;dimanche;Ste Léda, ajusteuse;;18 08;
PHALLE;9;lundi;St Godemiché, économe;;19 08;
PHALLE;10;mardi;Ste Nitouche, orante;;20 08;
PHALLE;11;mercredi;Ste Lèchefrite, botteuse;;21 08;
PHALLE;12;jeudi;Ste Andouille, amphibologue;;22 08;
PHALLE;13;vendredi;Ste Bitre, ouvreuse et St Étalon, couvreur;;23 08;
PHALLE;14;samedi;Bataille de Morsang;;24 08;
PHALLE;15;dimanche;Mort de Dionysos, surhomme;;25 08;
PHALLE;16;lundi;Nativité de St Vibescu, pohète et Commémoration de Ste Cuculine d’Ancône;;26 08;
PHALLE;17;mardi;Ste Gallinacée, cocotte;;27 08;
PHALLE;18;mercredi;St Lingam, bouche-trou;;28 08;
PHALLE;19;jeudi;St Prélote, capucin;;29 08;
PHALLE;20;vendredi;St Pie VIII (*), navigant;;30 08;
PHALLE;21;samedi;St Erbrand, polytechnicien;;31 08;
PHALLE;22;dimanche;Ste Dragonne, pyrophage;;1 09;
PHALLE;23;lundi;St Lazare (*), gare;;2 09;
PHALLE;24;mardi;Ste Orchidée, aumonière;;3 09;
PHALLE;25;mercredi;Nativité apparente d’Artaud le Momo;;4 09;
PHALLE;26;jeudi;Dispartion de l’Ancien Breughel, incendiaire;;5 09;
PHALLE;27;vendredi;St Priape (*), franc-tireur;;6 09;
PHALLE;28;samedi;Transfixion de Ste Messaline;;7 09;
